1,2,3,4,5,6,7,8,9,10
100513775,101131415,寿瑞狮,184,1,1,10424263,龙在天皮影,299,835376,
100513775,101131416,寿瑞狮,185,1,1,10424263,龙在天皮影,19000,835373,
100513775,101131417,寿瑞狮,186,1,1,10424263,龙在天皮影,299,835320,
100513775,101131418,寿瑞狮,187,1,1,10424263,龙在天皮影,18999,835305,
100513775,101131419,寿瑞狮,188,1,1,10424263,龙在天皮影,14200,835452,
100513775,101131420,寿瑞狮,189,1,1,10424263,龙在天皮影,20499,835401,
100513775,101131421,寿瑞狮,190,1,1,10424263,龙在天皮影,12886,835499,
100513775,101131422,寿瑞狮,191,1,1,10424263,龙在天皮影,29888,835289,
100513775,101131423,寿瑞狮,192,1,1,10424263,龙在天皮影,17466,835423,
100513775,101131424,寿瑞狮,193,1,1,10424263,龙在天皮影,9550,835410,
100513775,101131425,寿瑞狮,194,1,1,10424263,龙在天皮影,20010,835308,
100513775,101131426,寿瑞狮,195,1,1,10424263,龙在天皮影,8066,835374,
100513775,101131427,寿瑞狮,196,6,1,10424263,龙在天皮影,41999,835321,
100513775,101131428,寿瑞狮,197,1,1,10424263,龙在天皮影,11500,835286,
100513775,101131429,寿瑞狮,198,1,1,10424263,龙在天皮影,22222,835383,
100513775,101131430,寿瑞狮,199,1,1,10424263,龙在天皮影,7700,835340,
100513775,101131431,寿瑞狮,200,1,1,10424263,龙在天皮影,31988,835456,
