albumId,gId,gName,gNum,gStatus,isBuy,ownerId,ownerName,priceCny,tokenId
100513865,101725033,Cece-liles,1,,1,10131893,Ceceplants,38886,1342341
100513865,101725034,Cece-liles,2,,1,10169717,Ceceplants,34999,1343282
100513865,101725035,Cece-liles,3,,1,11099293,Ceceplants,23333,1341564
100513865,101725036,Cece-liles,4,,1,10880998,Ceceplants,14888,1343396
100513865,101725037,Cece-liles,5,,1,11036847,Ceceplants,14449,1345762
100513865,101725038,Cece-liles,6,,1,11463713,Ceceplants,7500,1341187
100513865,101725039,Cece-liles,7,,1,10150424,Ceceplants,11888,1341098
100513865,101725040,Cece-liles,8,,1,10034961,Ceceplants,10455,1341192
100513865,101725041,Cece-liles,9,,1,11299900,Ceceplants,27888,1345756
100513865,101725042,Cece-liles,10,,1,10045658,Ceceplants,8777,1343090
100513865,101725043,Cece-liles,11,,1,10264120,Ceceplants,29999,1343094
100513865,101725044,Cece-liles,12,,1,11365363,Ceceplants,13989,1342318
100513865,101725045,Cece-liles,13,,1,10759139,Ceceplants,37999,1342175
100513865,101725046,Cece-liles,14,,1,10297951,Ceceplants,0,1341914
100513865,101725047,Cece-liles,15,,1,10163476,Ceceplants,10000,1341765
100513865,101725048,Cece-liles,16,,1,10319002,Ceceplants,9398,1345552
100513865,101725049,Cece-liles,17,,1,11032932,Ceceplants,10009,1341374
100513865,101725050,Cece-liles,18,,1,10165572,Ceceplants,21500,1346512
100513865,101725051,Cece-liles,19,,1,10304334,Ceceplants,14250,1346137
100513865,101725052,Cece-liles,20,,1,10548778,Ceceplants,31999,1341675
100513865,101725053,Cece-liles,21,,1,11749232,Ceceplants,13799,1343893
100513865,101725054,Cece-liles,22,,1,11039346,Ceceplants,20999,1341626
100513865,101725055,Cece-liles,23,,1,10372928,Ceceplants,9425,1343948
100513865,101725056,Cece-liles,24,,1,10899560,Ceceplants,9666,1346839
100513865,101725057,Cece-liles,25,,1,10950304,Ceceplants,26666,1346588
100513865,101725058,Cece-liles,26,,1,11810543,Ceceplants,13888,1346726
100513865,101725059,Cece-liles,27,,1,10061073,Ceceplants,40000,1343305
100513865,101725060,Cece-liles,28,,1,11024129,Ceceplants,9200,1342049
100513865,101725061,Cece-liles,29,,1,10496177,Ceceplants,9199,1343412
100513865,101725062,Cece-liles,30,,1,10526660,Ceceplants,0,1342029
100513865,101725063,Cece-liles,31,,1,11713109,Ceceplants,15999,1346706
100513865,101725064,Cece-liles,32,,1,10026697,Ceceplants,0,1343386
100513865,101725065,Cece-liles,33,,1,10583013,Ceceplants,41999,1345631
100513865,101725066,Cece-liles,34,,1,10975946,Ceceplants,36599,1342693
100513865,101725067,Cece-liles,35,,1,11324389,Ceceplants,11111,1346363
100513865,101725068,Cece-liles,36,,1,11487133,Ceceplants,21888,1346573
100513865,101725069,Cece-liles,37,,1,10572955,Ceceplants,9518,1346345
100513865,101725070,Cece-liles,38,,1,11024758,Ceceplants,21000,1343239
100513865,101725071,Cece-liles,39,,1,10028813,Ceceplants,12579,1341918
100513865,101725072,Cece-liles,40,,1,10546582,Ceceplants,23999,1342324
100513865,101725073,Cece-liles,41,,1,10627049,Ceceplants,15500,1346333
100513865,101725074,Cece-liles,42,,1,10116092,Ceceplants,11110,1346719
100513865,101725075,Cece-liles,43,,1,10425247,Ceceplants,26299,1341224
100513865,101725076,Cece-liles,44,,1,10032761,Ceceplants,0,1346842
100513865,101725077,Cece-liles,45,,1,10094231,Ceceplants,10500,1342505
100513865,101725078,Cece-liles,46,,1,11899256,Ceceplants,14750,1345533
100513865,101725079,Cece-liles,47,,1,11182781,Ceceplants,36789,1339999
100513865,101725080,Cece-liles,48,,1,10531504,Ceceplants,13388,1345995
100513865,101725081,Cece-liles,49,,1,10422367,Ceceplants,13777,1346834
100513865,101725082,Cece-liles,50,,1,10351001,Ceceplants,0,1343120
100513865,101725083,Cece-liles,51,,1,11506541,Ceceplants,89111,1346924
100513865,101725084,Cece-liles,52,,1,10387544,Ceceplants,10800,1341805
100513865,101725085,Cece-liles,53,,1,10081300,Ceceplants,27777,1341772
100513865,101725086,Cece-liles,54,,1,10442826,Ceceplants,13000,1341736
100513865,101725087,Cece-liles,55,,1,11012110,Ceceplants,8700,1346037
100513865,101725088,Cece-liles,56,,1,11148701,Ceceplants,10499,1341964
100513865,101725089,Cece-liles,57,,1,10490940,Ceceplants,0,1343882
100513865,101725090,Cece-liles,58,,1,10454413,Ceceplants,35887,1346268
100513865,101725091,Cece-liles,59,,1,10558902,Ceceplants,26666,1346135
100513865,101725092,Cece-liles,60,,1,10972968,Ceceplants,17990,1346355
100513865,101725093,Cece-liles,61,,1,10263473,Ceceplants,17666,1345794
100513865,101725094,Cece-liles,62,,1,11279099,Ceceplants,30488,1346065
100513865,101725095,Cece-liles,63,,1,10554478,Ceceplants,19500,1341321
100513865,101725096,Cece-liles,64,,1,10380449,Ceceplants,0,1340266
100513865,101725097,Cece-liles,65,,1,10176532,Ceceplants,21400,1345626
100513865,101725098,Cece-liles,66,,1,10913450,Ceceplants,16288,1340168
100513865,101725099,Cece-liles,67,,1,10243373,Ceceplants,0,1340160
100513865,101725100,Cece-liles,68,,1,10096408,Ceceplants,31000,1345795
100513865,101725101,Cece-liles,69,,1,10527771,Ceceplants,40806,1346944
100513865,101725102,Cece-liles,70,,1,10304545,Ceceplants,0,1345816
100513865,101725103,Cece-liles,71,,1,10903461,Ceceplants,29000,1340235
100513865,101725104,Cece-liles,72,,1,10647242,Ceceplants,15555,1340150
100513865,101725105,Cece-liles,73,,1,10094954,Ceceplants,73491,1346982
100513865,101725106,Cece-liles,74,,1,11034231,Ceceplants,9599,1340139
100513865,101725107,Cece-liles,75,,1,11314674,Ceceplants,13325,1344016
100513865,101725108,Cece-liles,76,,1,11342286,Ceceplants,36999,1346499
100513865,101725109,Cece-liles,77,,1,11609607,Ceceplants,29888,1344000
100513865,101725110,Cece-liles,78,,1,10329513,Ceceplants,17666,1342931
100513865,101725111,Cece-liles,79,,1,10898373,Ceceplants,15864,1342529
100513865,101725112,Cece-liles,80,,1,10172504,Ceceplants,0,1343132
100513865,101725113,Cece-liles,81,,1,11020592,Ceceplants,9799,1345578
100513865,101725114,Cece-liles,82,,1,10035831,Ceceplants,55555,1342487
100513865,101725115,Cece-liles,83,,1,10130362,Ceceplants,0,1342457
100513865,101725116,Cece-liles,84,,1,10091982,Ceceplants,10599,1340032
100513865,101725117,Cece-liles,85,,1,10569206,Ceceplants,12900,1341479
100513865,101725118,Cece-liles,86,,1,10236281,Ceceplants,0,1340273
100513865,101725119,Cece-liles,87,,1,10430413,Ceceplants,0,1342411
